City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,taoudenni,22.6783,-3.9836,24.46,9,0,5.57,ML,1705145127
345,paimio,60.4567,22.6869,-4.11,91,100,4.02,FI,1705145128
346,tolanaro,-25.0319,46.9987,30.04,66,20,10.8,MG,1705145129
347,dippoldiswalde,50.8962,13.6691,0.64,85,100,6.23,DE,1705145129
348,belle fourche,44.6714,-103.8522,-30.22,58,100,8.64,US,1705145130
349,cambria,35.5641,-121.0808,6.27,81,65,1.34,US,1705145131
350,ghat,24.9647,10.1728,16.55,20,0,5.47,LY,1705145131
351,gettorf,54.4,9.9833,4.29,93,100,7.2,DE,1705145132
352,borogontsy,62.6683,131.1683,-37.06,98,86,0.32,RU,1705145133
353,sosnogorsk,63.6023,53.8817,-14.7,96,100,2.24,RU,1705145133
354,vilhena,-12.7406,-60.1458,23.12,94,20,1.54,BR,1705145134
355,el calafate,-50.3408,-72.2768,11.14,66,99,4.72,AR,1705145064
356,ketchikan,55.3422,-131.6461,-7.74,73,100,0.0,US,1705145133
357,mogocha,53.7333,119.7667,-25.5,100,74,1.96,RU,1705145136
358,hwange,-18.3693,26.5019,28.99,55,81,5.11,ZW,1705145136
359,soledad de graciano sanchez,22.2,-100.95,5.9,70,40,0.0,MX,1705145137
360,kani keli,-12.9536,45.1033,31.59,78,99,4.36,YT,1705145139
361,mokhotlong,-29.2894,29.0675,24.43,31,3,4.8,LS,1705145139
362,camapua,-19.5314,-54.0439,24.94,84,100,1.25,BR,1705145140
363,tambopata,-12.7333,-69.1833,23.94,94,75,0.51,PE,1705145141
364,tobelo,1.7284,128.0095,26.47,83,99,0.81,ID,1705145141
365,horta,38.5333,-28.6333,16.12,88,40,5.81,PT,1705145142
366,intendente alvear,-35.2338,-63.592,17.87,89,99,6.27,AR,1705145143
367,ascencion,31.1,-107.9833,4.91,22,49,1.99,MX,1705145143
368,bel ombre,-4.6167,55.4167,30.91,66,20,7.2,SC,1705145144
369,thunder bay,48.4001,-89.3168,-17.05,60,75,4.12,CA,1705145144
370,taulaga,-11.0553,-171.0883,29.44,71,51,4.33,AS,1705145145
371,jucas,-6.5253,-39.5275,26.21,72,96,2.46,BR,1705145146
372,menongue,-14.6585,17.691,27.77,40,90,4.52,AO,1705145146
373,pyt-yakh,60.7499,72.8582,-16.74,97,100,2.5,RU,1705145147
374,gadzhiyevo,69.2551,33.3362,-12.53,98,98,4.04,RU,1705145147
375,wajir,1.7471,40.0573,35.98,30,20,3.6,KE,1705145148
376,hovd,48.0056,91.6419,-12.64,55,29,1.23,MN,1705145149
377,merizo village,13.2658,144.6691,27.03,88,41,7.43,GU,1705145149
378,namie,37.4833,141.0,0.0,64,99,5.22,JP,1705145150
379,mana,5.6592,-53.7767,26.35,75,16,3.14,GF,1705145150
380,hilo,19.7297,-155.09,16.77,83,40,2.57,US,1705145151
381,igarka,67.4667,86.5833,-25.98,96,100,3.56,RU,1705145152
382,pathein,16.7833,94.7333,25.24,53,5,3.06,MM,1705145152
383,gazi,35.3253,25.0669,11.31,67,75,8.75,GR,1705145153
384,ciudad lazaro cardenas,17.9583,-102.2,21.08,88,98,1.84,MX,1705145154
385,yarkovo,57.4028,67.0786,-13.96,91,100,3.86,RU,1705145154
386,kokpekty,48.75,82.4,-13.14,84,100,1.41,KZ,1705145156
387,baijiantan,45.6333,85.1833,-7.94,82,86,0.92,CN,1705145156
388,ribeira brava,32.65,-17.0667,21.19,95,100,5.02,PT,1705145157
389,ballina,-28.8667,153.5667,22.1,83,97,3.31,AU,1705145158
390,santyoku,37.4406,129.1708,1.38,59,1,3.25,KR,1705145158
391,korla,41.7597,86.1469,-1.79,64,74,2.4,CN,1705145159
392,eyl,7.9803,49.8164,29.5,57,19,8.99,SO,1705145100
393,shitanjing,39.2342,106.3439,-2.48,46,27,4.88,CN,1705145160
